Name (CTZ),Age Group,Bib Number,Age,"City, State",05K,10K,15K,20K,HALF,25K,30K,35K,40K,Finish
"Peloquin, Conner (USA)",25-29,598,27,Seattle,00:16:36,00:32:46,00:49:08,01:05:26,01:09:01,01:21:54,01:38:04,01:54:12,02:10:10,02:17:02
"Neff, Jackson (USA)",25-29,30,27,Chicago,00:16:09,00:32:17,00:48:25,01:04:43,01:08:16,01:21:01,01:37:19,01:53:32,02:10:01,02:17:21
"Cross, Will (USA)",25-29,432,26,Upland,–,00:32:45,00:49:08,01:05:26,01:09:02,01:21:55,01:38:04,01:54:12,02:10:21,02:17:33
"Hansen, Kevin (USA)",35-39,484,35,Lk Forest Pk,00:16:36,00:32:46,00:49:08,01:05:27,01:09:01,01:21:55,01:38:04,01:54:23,02:10:59,02:18:25
"May, Christopher (USA)",25-29,564,25,Elmhurst,00:16:16,00:32:45,00:49:08,01:05:27,01:09:02,01:21:54,01:38:04,01:54:12,02:10:45,02:18:34
"Medina, Oscar (MEX)",25-29,568,27,Chicago,00:16:10,00:32:17,00:48:26,01:04:47,01:08:22,01:21:28,01:37:54,01:54:23,02:11:25,02:18:45
"Campbell, Patrick (USA)",20-24,407,24,Madison,00:15:54,00:31:53,00:47:57,01:04:11,01:07:44,01:20:28,01:36:48,01:53:35,02:10:58,02:18:51
"Lustgarten, Brett (USA)",25-29,32,29,Carol Stream,00:16:10,00:32:16,00:48:23,01:04:26,01:07:57,01:20:31,01:37:00,01:54:01,02:11:23,02:18:59
"Smith, Ryan (USA)",20-24,651,24,Berkeley,00:16:09,00:32:21,00:48:26,01:04:54,01:08:25,01:21:12,01:37:38,01:54:18,02:11:14,02:19:22
"Gade, Noah (USA)",20-24,465,24,Stillwater,00:16:09,00:32:17,00:48:25,01:04:43,01:08:16,01:21:01,01:37:20,01:54:02,02:11:46,02:19:50
"Bang, Eric (CAN)",25-29,370,29,Oakville,00:16:09,00:32:17,00:48:26,01:04:47,01:08:22,01:21:30,01:38:16,01:55:14,02:12:21,02:19:56
"Eaton, Michael (USA)",30-34,29,32,Seattle,00:16:36,00:32:46,00:49:08,01:05:26,01:09:02,01:21:55,01:38:05,01:54:22,02:11:37,02:19:58
"Thomas, Jason (USA)",25-29,665,25,Urbandale,00:16:37,00:33:08,00:49:34,01:06:15,01:09:53,01:22:49,01:39:31,01:56:12,02:13:04,02:20:28
"Nally, Daniel (USA)",30-34,580,34,Littleton,00:16:38,00:33:05,00:49:34,01:06:15,01:09:53,01:22:48,01:39:11,01:55:56,02:13:07,02:20:38
"Craighead, Daniel (USA)",25-29,430,29,Lafayette,00:16:29,00:33:00,00:49:23,01:05:46,01:09:22,01:22:23,01:39:18,01:56:10,02:13:36,02:21:15
